project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;35;0;35;0.00
binarySearchTree2;binarySearchTree2.py;27;0;27;0.00
binarySearchTree3;binarySearchTree3.py;27;0;27;0.00
binarySearchTree4;binarySearchTree4.py;21;0;21;0.00
identifier1;identifier1.py;27;0;27;0.00
linkedList1;linkedList1.py;25;0;25;0.00
linkedList2;linkedList2.py;24;0;24;0.00
linkedList3;linkedList3.py;30;0;30;0.00
linkedList4;linkedList4.py;30;0;30;0.00
linkedList5;linkedList5.py;24;0;24;0.00
queue1;queue1.py;19;0;19;0.00
queue2;queue2.py;22;0;22;0.00
queue3;queue3.py;35;0;35;0.00
queue4;queue4.py;27;0;27;0.00
queue5;queue5.py;15;0;15;0.00
sort1;sort1.py;25;0;25;0.00
stack1;stack1.py;26;0;26;0.00
stack2;stack2.py;13;0;13;0.00
stack3;stack3.py;31;0;31;0.00
stack4;stack4.py;23;0;23;0.00
stack5;stack5.py;17;0;17;0.00
